date,open,high,low,close,volume
2011-05-06,4787.5200,4874.9800,4764.8400,4849.9700,3690577200
2011-05-09,4855.8400,4897.7600,4855.8400,4889.9200,3456250800
2011-05-10,4893.9500,4918.8700,4871.4500,4918.6700,3522454400
2011-05-11,4919.2400,4949.0200,4880.3100,4929.4900,4237492400
2011-05-12,4896.3400,4940.8200,4863.1200,4863.7900,4735557200
2011-05-13,4860.0300,4903.1100,4817.8300,4902.5600,4246408400
2011-05-16,4900.0000,4931.1300,4892.2400,4900.7100,4099534400
2011-05-17,4892.2900,4912.7100,4823.0600,4873.9500,4686059600
2011-05-18,4859.3200,4907.7500,4850.4500,4906.1900,3608075200
2011-05-19,4912.8100,4929.2100,4875.8000,4879.8900,3468265600
2011-05-20,4875.0800,4886.5900,4837.9800,4863.1900,3021996400
2011-05-23,4853.9000,4853.9200,4677.4600,4679.5300,4285262400
2011-05-24,4656.0100,4676.8400,4590.1300,4672.0800,3287198000
2011-05-25,4667.6400,4689.6900,4613.6800,4618.7500,3418169200
2011-05-26,4635.9500,4662.2900,4572.3200,4572.9400,3570184000
2011-05-27,4561.7700,4567.2300,4425.7600,4428.8900,3390238400
2011-05-30,4403.0000,4427.0000,4339.0800,4345.0500,2659257600
2011-05-31,4347.9900,4444.5900,4339.6300,4444.2800,2647238400
2011-06-01,4439.3900,4494.0000,4424.2000,4490.8900,2746729400
2011-06-02,4434.8600,4452.5300,4363.9000,4430.0000,3038598800
2011-06-03,4425.4900,4514.3100,4424.2000,4506.2000,2671969200
2011-06-07,4496.9600,4548.2200,4490.6200,4547.3000,2535242800
2011-06-08,4542.7000,4568.2900,4486.6500,4562.9700,2969370400
2011-06-09,4552.0700,4553.7100,4456.5900,4456.7300,3012745200
2011-06-10,4442.5100,4469.5800,4383.2000,4469.0500,2716272800
2011-06-13,4439.8700,4475.6900,4408.0600,4468.7900,2290297400
2011-06-14,4466.9900,4546.7300,4461.5300,4540.9400,2995558400
2011-06-15,4531.3600,4562.0400,4498.7800,4499.6900,2954781200
2011-06-16,4461.2600,4466.7800,4396.2100,4402.1400,2790606800
2011-06-17,4392.9800,4415.1600,4332.4900,4337.3700,2282689600
2011-06-20,4325.6000,4333.5700,4251.1100,4278.7500,2158850400
2011-06-21,4286.3600,4338.8500,4269.9200,4338.4200,2444865600
2011-06-22,4341.3600,4350.9200,4300.6400,4321.2200,2228088000
2011-06-23,4307.8100,4411.8600,4276.7300,4402.9400,2927737600
2011-06-24,4390.0900,4533.7100,4381.8000,4509.1800,4592928400
2011-06-27,4511.7600,4578.3200,4510.7200,4568.1900,3916460400
2011-06-28,4569.7600,4582.6200,4529.1800,4574.4800,3231001200
2011-06-29,4570.8400,4583.4900,4511.2800,4511.5400,3396370400
2011-06-30,4506.7500,4585.2600,4506.7400,4579.3300,3273795000
2011-07-01,4589.1700,4635.2500,4582.3300,4604.7500,3882020000
2011-07-04,4617.9500,4719.5700,4617.9500,4719.3900,5031479200
2011-07-05,4722.3300,4758.0800,4711.1700,4749.4200,4606850800
2011-07-06,4742.1700,4763.2400,4705.3800,4760.9200,4330434000
2011-07-07,4757.0700,4813.3400,4742.3700,4761.4500,4850316000
2011-07-08,4755.7500,4769.5500,4720.2300,4756.6100,3641059600
2011-07-11,4741.9800,4802.4400,4728.4900,4799.4200,3725219200
2011-07-12,4762.0900,4771.5900,4727.6700,4731.1200,4142080400
2011-07-13,4729.2000,4825.5000,4729.2000,4825.4200,4023526800
2011-07-14,4833.7500,4866.2400,4813.4900,4866.1700,4613078400
2011-07-15,4853.7500,4896.1000,4842.7900,4896.0400,4781930400
2011-07-18,4902.2200,4919.1400,4876.4800,4895.2600,4843666400
2011-07-19,4871.6800,4871.9300,4822.4500,4843.7100,4150607200
2011-07-20,4864.2800,4881.4600,4801.6100,4849.0600,3945111200
2011-07-21,4846.3400,4850.5500,4782.4000,4784.3900,3879897200
2011-07-22,4791.4600,4822.8100,4781.4100,4800.9400,3316057600
2011-07-25,4784.9700,4784.9700,4597.7400,4613.7300,4350413200
2011-07-26,4604.9900,4634.3100,4576.9300,4633.3700,2841260600
2011-07-27,4621.5000,4716.3000,4596.4300,4710.3800,3221238600
2011-07-28,4670.9200,4685.4600,4633.6700,4680.9000,3191405200
2011-07-29,4678.7800,4694.0600,4611.9000,4628.3200,2939857200
2011-08-01,4622.7000,4665.1800,4607.5600,4644.4600,2498278200
2011-08-02,4627.3800,4627.3800,4539.4300,4610.7800,3058629000
2011-08-03,4565.7500,4638.6400,4551.4800,4625.1700,2743907600
2011-08-04,4631.4200,4671.0000,4631.2800,4649.4200,2591344000
2011-08-05,4504.0800,4589.0800,4472.6200,4559.0200,3073141000
2011-08-08,4494.3800,4514.6200,4242.8700,4330.7700,4171750400
2011-08-09,4199.1300,4347.3100,4113.0100,4317.1100,3800449600
2011-08-10,4389.1500,4433.0900,4372.6400,4378.7000,3826854400
2011-08-11,4283.2400,4454.4800,4270.6200,4454.3900,3754621600
2011-08-12,4483.8500,4526.5000,4480.1200,4505.8900,4038279600
2011-08-15,4514.6500,4571.7200,4509.6300,4571.7200,3616918400
2011-08-16,4578.3500,4587.1400,4520.9400,4533.3200,3480351600
